capability_id,status,dependency_class,owner,missing_dependency,frontend_behaviour,security_finding
mandate_session_establishment,BLOCKED_BY_DEPENDENCY,ABSENT,API-02 / identity boundary,an accepted executable route issuing a mandate-scoped representative session,"The workspace starts in the anonymous state, states that mandate sessions cannot be established against any accepted runtime, and offers no credential entry that would imply otherwise.",
mandate_scope_resolution,BLOCKED_BY_DEPENDENCY,ABSENT,PACK-20 office-mandate-service (unaccepted),"an accepted mandate register exposing the mandate, its level, and its active authority window",Scope is never resolved from the network. Every protected surface refuses with scope_mismatch or unavailable and names the missing register.,
authority_revalidation,BLOCKED_BY_DEPENDENCY,ABSENT,PACK-20 office-mandate-service (unaccepted),an accepted server-side authority check evaluated at commit time,"No action that would require commit-time revalidation is offered as executable. The requirement is displayed, not simulated.",
step_up_authentication,BLOCKED_BY_DEPENDENCY,ABSENT,API-02 / identity boundary,an accepted executable step-up ceremony returning a raised assurance level,"Surfaces that require step-up render the step_up_required state with the reason, and the trigger is inert by construction rather than disabled by styling.",
case_intake_list,BLOCKED_BY_DEPENDENCY,ABSENT,PACK-29 representative-desk-service (unaccepted),an accepted executable route listing mandate-scoped citizen cases,"The desk renders the unavailable state with the named dependency. No placeholder case list is shown, because a fabricated list is indistinguishable from a real one to the user.",
case_detail_read,BLOCKED_BY_DEPENDENCY,ABSENT,PACK-29 representative-desk-service (unaccepted),an accepted executable route returning a single case within mandate scope,Detail routes refuse non-disclosingly: the refusal is identical whether the case does not exist or lies outside scope.,
case_assignment,BLOCKED_BY_DEPENDENCY,ABSENT,PACK-29 representative-desk-service (unaccepted),an accepted executable case assignment operation,The action is described in the action register with its authority requirement and reported as blocked. It is never offered as executable.,
case_triage_transition,BLOCKED_BY_DEPENDENCY,ABSENT,PACK-29 representative-desk-service (unaccepted),an accepted executable state-transition operation with optimistic-concurrency semantics,"Transitions are not attempted. The state machine models the safe outcomes, including the uncertain outcome, and is exercised only under the governed test profile.",
case_response_record,BLOCKED_BY_DEPENDENCY,ABSENT,PACK-29 representative-desk-service (unaccepted),an accepted executable route recording an outbound response against a case,Composition surfaces are not presented as a send path. Nothing composed is described as delivered.,
case_scoped_search,BLOCKED_BY_DEPENDENCY,ABSENT,PACK-29 representative-desk-service (unaccepted),an accepted executable search operation that is server-side scope-bound,"Search is unavailable. The interface never offers an unscoped search field, so there is no surface on which a cross-mandate query could be typed.",
position_draft_read,BLOCKED_BY_DEPENDENCY,ABSENT,PACK-29 representative-desk-service (unaccepted),an accepted executable route returning stored position drafts,"The position surface renders unavailable rather than an empty list, because an empty list asserts that nothing exists.",
position_draft_write,BLOCKED_BY_DEPENDENCY,ABSENT,PACK-29 representative-desk-service (unaccepted),an accepted executable route persisting a draft,"A draft composed in this workspace exists only in volatile memory for the life of the surface. It is labelled as unsaved, and no browser storage receives it.",
position_internal_submission,BLOCKED_BY_DEPENDENCY,ABSENT,PACK-29 representative-desk-service (unaccepted),an accepted executable route accepting an internal submission,Submission is reported blocked with the named dependency. The workspace never reports a draft as submitted.,
deviation_record_read,BLOCKED_BY_DEPENDENCY,ABSENT,PACK-29 / transparency-service,an accepted executable route returning deviation records with provenance,Unavailable state with the named dependency.,
