console_id,desk_id,workspace,origin,role,action_id,authority_action_set,organization_scope,backend_service,route,authentication_assurance,step_up_required,maker_checker_dual_control,incompatible_roles,sensitive_data_classes,audit_evidence_obligation,break_glass_eligible,break_glass_notification,activation_state,governing_fir
CONSOLE_GOVERNANCE,DESK_ASSEMBLIES,party-governance,https://governance.ctrl.epd2.invalid,ASSEMBLIES,ASSEMBLY.PUBLISH_MINUTES,EXECUTE,LAND,deliberation-service,/ctrl/v1/assemblies/assembly/publish_minutes,AAL2,no,quorum=1;four_eyes=no,APPROVE!=EXECUTE;EXECUTE!=REVIEW_OR_AUDIT;REQUEST!=APPROVE,none,immutable,no,n/a,PRESEAL_NOT_ACCEPTED,FIR-CTRL-001
CONSOLE_GOVERNANCE,DESK_ELECTION_ADMIN,party-governance,https://governance.ctrl.epd2.invalid,ELECTION_ADMIN,ELECTION.ADMIN_ACTION,EXECUTE,LAND,governance-service,/ctrl/v1/election_admin/election/admin_action,AAL2,no,quorum=2;four_eyes=yes,APPROVE!=EXECUTE;EXECUTE!=REVIEW_OR_AUDIT;REQUEST!=APPROVE,none,immutable,no,n/a,PRESEAL_NOT_ACCEPTED,FIR-GOV-005;FIR-VOTE-NET-001
CONSOLE_GOVERNANCE,DESK_MEMBERSHIP_ADMIN,party-governance,https://governance.ctrl.epd2.invalid,MEMBERSHIP_ADMIN,MEMBERSHIP.ADMIN_MUTATE,EXECUTE,LAND,membership-service,/ctrl/v1/membership/membership/admin_mutate,AAL2,no,quorum=1;four_eyes=no,APPROVE!=EXECUTE;EXECUTE!=REVIEW_OR_AUDIT;REQUEST!=APPROVE,PERSONAL_DATA,immutable,no,n/a,PRESEAL_NOT_ACCEPTED,FIR-GOV-004;FIR-GOV-005
CONSOLE_GOVERNANCE,DESK_OFFICES_MANDATES,party-governance,https://governance.ctrl.epd2.invalid,OFFICES_MANDATES,OFFICE.ASSIGN_MANDATE,EXECUTE,LAND,organization-service,/ctrl/v1/offices/office/assign_mandate,AAL2,no,quorum=2;four_eyes=yes,APPROVE!=EXECUTE;EXECUTE!=REVIEW_OR_AUDIT;REQUEST!=APPROVE,none,immutable,no,n/a,PRESEAL_NOT_ACCEPTED,FIR-GOV-005
CONSOLE_GOVERNANCE,DESK_ORG_AUTHORITY,party-governance,https://governance.ctrl.epd2.invalid,ORG_AUTHORITY,AUTH.ASSIGN,EXECUTE,LAND,organization-service + governance-service,/ctrl/v1/authority/auth/assign,AAL2,yes,quorum=2;four_eyes=yes,APPROVE!=EXECUTE;EXECUTE!=REVIEW_OR_AUDIT;REQUEST!=APPROVE,none,immutable,no,n/a,PRESEAL_NOT_ACCEPTED,FIR-GOV-005;FIR-SEC-004
CONSOLE_GOVERNANCE,DESK_ORG_AUTHORITY,party-governance,https://governance.ctrl.epd2.invalid,ORG_AUTHORITY,AUTH.READ_PROVENANCE,READ_METADATA,LAND,organization-service + governance-service,/ctrl/v1/authority/auth/read_provenance,AAL2,no,quorum=0;four_eyes=no,APPROVE!=EXECUTE;EXECUTE!=REVIEW_OR_AUDIT;REQUEST!=APPROVE,none,immutable,no,n/a,PRESEAL_NOT_ACCEPTED,FIR-GOV-005
CONSOLE_GOVERNANCE,DESK_ORG_AUTHORITY,party-governance,https://governance.ctrl.epd2.invalid,ORG_AUTHORITY,AUTH.RESTORE,RESTORE,LAND,organization-service + governance-service,/ctrl/v1/authority/auth/restore,AAL2,no,quorum=2;four_eyes=yes,APPROVE!=EXECUTE;EXECUTE!=REVIEW_OR_AUDIT;REQUEST!=APPROVE,none,immutable,no,n/a,PRESEAL_NOT_ACCEPTED,FIR-GOV-004;FIR-GOV-005
CONSOLE_GOVERNANCE,DESK_ORG_AUTHORITY,party-governance,https://governance.ctrl.epd2.invalid,ORG_AUTHORITY,AUTH.REVOKE,REVOKE,LAND,organization-service + governance-service,/ctrl/v1/authority/auth/revoke,AAL2,no,quorum=2;four_eyes=yes,APPROVE!=EXECUTE;EXECUTE!=REVIEW_OR_AUDIT;REQUEST!=APPROVE,none,immutable,no,n/a,PRESEAL_NOT_ACCEPTED,FIR-GOV-004;FIR-GOV-005
CONSOLE_GOVERNANCE,DESK_ORG_AUTHORITY,party-governance,https://governance.ctrl.epd2.invalid,ORG_AUTHORITY,AUTH.SUSPEND,SUSPEND_OR_QUARANTINE,LAND,organization-service + governance-service,/ctrl/v1/authority/auth/suspend,AAL2,no,quorum=2;four_eyes=yes,APPROVE!=EXECUTE;EXECUTE!=REVIEW_OR_AUDIT;REQUEST!=APPROVE,none,immutable,no,n/a,PRESEAL_NOT_ACCEPTED,FIR-GOV-004;FIR-GOV-005
CONSOLE_GOVERNANCE,DESK_REGIONAL_INTERVENTION,party-governance,https://governance.ctrl.epd2.invalid,REGIONAL_INTERVENTION,INTERVENE.AUTHORITY_SUSPENSION,SUSPEND_OR_QUARANTINE,LAND,organization-service + privileged-access-service,/ctrl/v1/intervention/intervene/authority_suspension,AAL2,yes,quorum=2;four_eyes=yes,APPROVE!=EXECUTE;EXECUTE!=REVIEW_OR_AUDIT;REQUEST!=APPROVE,none,immutable,no,n/a,PRESEAL_NOT_ACCEPTED,FIR-GOV-004;FIR-GOV-005
