filename,current_title,visual_template,shared_elements,css_rules,target_workspace,target_route,migration_status,visual_preservation,technical_corrections
aktiv-werden.html,EPD² — Aktiv werden,public,header;navigation;cards;footer,core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
aktuelle-wahlen.html,EPD² — Aktuelle Wahlen,public,header;navigation;cards;footer,core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
aktuelles.html,EPD² — Aktuelles,public,header;navigation;cards;footer,core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
buerger-login/index.html,EPD² — Bürger-Login,form,,,WS-02,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
buerger-login.html,EPD² — Bürger-Login,form,header;navigation;cards;form;footer,core.css,WS-02,/foundation/examples/form,representative_migrated,yes,semantic/accessibility/responsive/status corrections only
buergerannahme.html,EPD² — Elektronische Bürgerannahme,form,header;navigation;cards;form;footer,core.css,WS-02,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
buergerbereich.html,EPD² — Bürgerbereich,public,header;navigation;footer,core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
cockpit.html,EPD² Intern,internal,footer,,WS-02,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
crisis-protocol.html,crisis-protocol | EPD²,public,header;navigation;cards;footer,assets/css/style.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
datenschutz.html,EPD² — Datenschutzerklärung,public,header;navigation;footer,core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
delegation-reputation.html,Delegation & Reputation | EPD²,public,header;navigation;cards;footer,assets/css/style.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
ethics.html,ethics | EPD²,public,header;navigation;cards;footer,assets/css/style.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
faq.html,FAQ | EPD²,public,header;navigation;cards;footer,assets/css/style.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
impressum.html,EPD² — Impressum,public,header;navigation;footer,core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
index.html,EPD² — Erste Partei Deutschlands | Digitale Demokratie,public,header;navigation;cards;footer,core.css,WS-01,/foundation/examples/public,representative_migrated,yes,semantic/accessibility/responsive/status corrections only
intern/abstimmungen.html,intern.epd-partei.de | Abstimmungen,internal,header;navigation;cards;footer,../core.css,WS-02,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
intern/dashboard.html,intern.epd-partei.de | Dashboard,internal,header;navigation;cards;footer,../core.css,WS-02,/foundation/examples/cockpit,representative_migrated,yes,semantic/accessibility/responsive/status corrections only
intern/delegation.html,intern.epd-partei.de | Meine Stimmen & Delegation,internal,header;navigation;cards;footer,../core.css,WS-02,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
intern/kommunikation.html,intern.epd-partei.de | Kommunikation,internal,header;navigation;footer,../core.css,WS-02,/foundation/examples/communication,representative_migrated,yes,semantic/accessibility/responsive/status corrections only
intern/meine-vorschlaege.html,intern.epd-partei.de | Meine Vorschläge,internal,header;navigation;footer,../core.css,WS-02,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
intern/organisation.html,intern.epd-partei.de | Organisation,internal,header;navigation;cards;footer,../core.css,WS-02,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
intern/profil.html,intern.epd-partei.de | Profil / Einstellungen,internal,header;navigation;cards;footer,../core.css,WS-02,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
intern/programmwerkstatt.html,intern.epd-partei.de | Programmwerkstatt,internal,header;navigation;cards;footer,../core.css,WS-02,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
intern/reputation.html,intern.epd-partei.de | Delegation & Reputation,internal,header;navigation;cards;footer,../core.css,WS-02,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
intern/versammlungen.html,intern.epd-partei.de | Parteiversammlungen,internal,header;navigation;cards;footer,../core.css,WS-02,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
intern/vertrauensarchitektur.html,intern.epd-partei.de | Vertrauensarchitektur,internal,header;navigation;cards;footer,../core.css,WS-02,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
intern-dashboard.html,EPD² Intern,public,footer,,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
kandidieren.html,EPD² — Kandidieren,public,header;navigation;cards;footer,core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
kontakt.html,EPD² — Kontakt,public,header;navigation;cards;footer,core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
login.html,EPD² — Login,form,,,WS-02,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
mitmachen.html,EPD² — Mitmachen,public,header;navigation;cards;footer,core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
nutzungsbedingungen.html,EPD² — Nutzungsbedingungen,public,header;navigation;footer,core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
programm/digitale-verfassung.html,EPD² — Digitale Verfassung & Demokratie-Recht,public,header;navigation;cards;footer,../core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
programm.html,EPD² — Unser Programm,public,header;navigation;cards;footer,core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
programmwerkstatt.html,EPD² — Programmwerkstatt,public,header;navigation;cards;footer,core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
roadmap.html,Roadmap | EPD²,public,header;navigation;cards;footer,assets/css/style.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
satzung.html,EPD² — Satzung,public,header;navigation;footer,core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
schiedsgericht.html,schiedsgericht | EPD²,public,header;navigation;cards;footer,assets/css/style.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
