legacy_source,target_route,target_page_id,decision,maturity,dependent_pack,audit_correction,reason
EPD/aktiv-werden.html,/mitmachen,FRONT01-PAGE-008,MERGE,informational,PACK-18,WC-18,Unified participation information
EPD/aktuelle-wahlen.html,/abstimmungen,FRONT01-PAGE-021,PUBLIC_EXPLANATION_ONLY,not_activated,PACK-15–17,WC-03;WC-16;FEC-001,No active election UI
EPD/aktuelles.html,/status,FRONT01-PAGE-031,MERGE,informational,FRONT-01,WC-18,Current maturity replaces ambiguous news
EPD/buerger-login.html,/mitgliedschaft,FRONT01-PAGE-009,MOVE_TO_FUTURE_WORKSPACE,planned,WS-02,FEC-006,Login is a future handoff
EPD/buerger-login/index.html,/mitgliedschaft,FRONT01-PAGE-009,REDIRECT,planned,WS-02,FEC-006,Duplicate login entry
EPD/buergerannahme.html,/buergerbuero,FRONT01-PAGE-023,PUBLIC_EXPLANATION_ONLY,planned,PACK-33,WC-09;FEC-007,Future WS-05 caseflow
EPD/buergerbereich.html,/mitgliedschaft,FRONT01-PAGE-009,MOVE_TO_FUTURE_WORKSPACE,planned,WS-02,FEC-010,Authenticated area excluded
EPD/cockpit.html,/status,FRONT01-PAGE-031,REMOVE,not_activated,WS-02,WC-20,Fixture not public capability
EPD/crisis-protocol.html,/rechtsgovernance,FRONT01-PAGE-029,PUBLIC_EXPLANATION_ONLY,planned,PACK-30,WC-02;FEC-003,Automatic legal effects removed
EPD/datenschutz.html,/datenschutz,FRONT01-PAGE-015,REWRITE,informational,PACK-09 / PACK-18,WC-17,Purpose-specific model
EPD/delegation-reputation.html,/grundsaetze,FRONT01-PAGE-004,REMOVE,not_activated,PACK-34,WC-06;FEC-005,No public individual scoring
EPD/ethics.html,/rechtsgovernance,FRONT01-PAGE-029,MERGE,planned,PACK-31,WC-14,Proposed institutional model
EPD/faq.html,/technologie,FRONT01-PAGE-013,MERGE,implemented_reference,FRONT-00,FEC-002,Claims qualified by scope
EPD/impressum.html,/impressum,FRONT01-PAGE-018,REWRITE,informational,PACK-09,C8,Requires legal editorial review
EPD/index.html,/,FRONT01-PAGE-001,REWRITE,foundation_available,FRONT-00 / FRONT-01,WC-01;WC-03,Remove SYSTEM LIVE overclaims
EPD/intern-dashboard.html,/status,FRONT01-PAGE-031,REMOVE,not_activated,WS-02,WC-20,Internal fixture excluded
EPD/intern/abstimmungen.html,/abstimmungen,FRONT01-PAGE-021,MOVE_TO_FUTURE_WORKSPACE,not_activated,WS-03,FEC-001,Separate voting origin
EPD/intern/dashboard.html,/status,FRONT01-PAGE-031,REMOVE,not_activated,WS-02,WC-20,No authenticated simulation
EPD/intern/delegation.html,/grundsaetze,FRONT01-PAGE-004,MOVE_TO_FUTURE_WORKSPACE,planned,PACK-03,FEC-010,Operational flow excluded
EPD/intern/kommunikation.html,/kontakt,FRONT01-PAGE-017,MOVE_TO_FUTURE_WORKSPACE,planned,PACK-22,WC-10;FEC-012,Message and notice separated
EPD/intern/meine-vorschlaege.html,/beratung,FRONT01-PAGE-020,MOVE_TO_FUTURE_WORKSPACE,specified,PACK-03,WC-07,Snapshot AI explanation only
EPD/intern/organisation.html,/organisation,FRONT01-PAGE-010,MOVE_TO_FUTURE_WORKSPACE,planned,WS-06,FEC-010,Institutional admin excluded
EPD/intern/profil.html,/mitgliedschaft,FRONT01-PAGE-009,MOVE_TO_FUTURE_WORKSPACE,planned,WS-02,FEC-010,Profile excluded
EPD/intern/programmwerkstatt.html,/programm,FRONT01-PAGE-005,MOVE_TO_FUTURE_WORKSPACE,not_activated,PACK-32,WC-22,No program mutation
EPD/intern/reputation.html,/grundsaetze,FRONT01-PAGE-004,REMOVE,not_activated,PACK-34,WC-06,Political profiling blocked
EPD/intern/versammlungen.html,/versammlungen,FRONT01-PAGE-026,MOVE_TO_FUTURE_WORKSPACE,legally_blocked,PACK-21,WC-11;FEC-013,Explanation only
EPD/intern/vertrauensarchitektur.html,/sicherheit,FRONT01-PAGE-014,MERGE,production_blocked,PACK-15–17,C8,No readiness guarantee
EPD/kandidieren.html,/kandidatur,FRONT01-PAGE-027,REWRITE,planned,PACK-20,WC-12;FEC-011,Stages separated
